top - 15:09:46 up  2:00,  0 user,  load average: 0.07, 0.14, 0.12
Tasks:  45 total,   1 running,  44 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  1.4 sy,  0.0 ni, 96.1 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15855.2 total,  12220.0 free,   3564.8 used,    279.3 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  12290.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
28289 neal_li+  20   0   31.4g 243612  61120 S  36.4   1.5   0:36.38 node
19118 neal_li+  20   0 1264280  66880  47520 S  18.2   0.4   0:02.12 node
 7384 neal_li+  20   0 1361712   7520   6560 S   9.1   0.0   0:00.03 server
 7414 neal_li+  20   0 1361072   6560   5760 S   9.1   0.0   0:00.03 client
19095 root      20   0    3116    960    960 S   9.1   0.0   0:00.39 Relay(190+
19473 neal_li+  20   0   63.0g 799144  64320 S   9.1   4.9   1:51.01 node
    1 root      20   0    3072   2080   2080 S   0.0   0.0   0:00.07 init(Ubun+
    8 root      20   0    3088   1956   1920 S   0.0   0.0   0:00.00 init
   11 root      20   0    3080    800    800 S   0.0   0.0   0:00.00 SessionLe+
   12 root      20   0    3096    960    960 S   0.0   0.0   0:00.67 Relay(13)
   13 neal_li+  20   0   14596  10028   4960 S   0.0   0.1   0:02.02 zsh
  374 neal_li+  20   0   10276   6084   1920 S   0.0   0.0   0:00.00 zsh
  376 neal_li+  20   0   10260   5764   1600 S   0.0   0.0   0:00.05 zsh
  378 neal_li+  20   0   10500   6360   2080 S   0.0   0.0   0:00.00 zsh
  383 neal_li+  20   0    6968   1760   1600 S   0.0   0.0   0:00.25 gitstatus+
 7382 neal_li+  20   0    4756   3200   3040 S   0.0   0.0   0:00.00 bash
 7412 neal_li+  20   0    9132   5120   3040 D   0.0   0.0   0:00.00 top
 7413 neal_li+  20   0    9288   5120   3040 R   0.0   0.0   0:00.00 top
18592 root      20   0    3080    800    800 S   0.0   0.0   0:00.00 SessionLe+
18593 root      20   0    3096    960    960 S   0.0   0.0   0:00.08 Relay(185+
18594 neal_li+  20   0   14848  10960   5280 S   0.0   0.1   0:04.08 zsh
18955 neal_li+  20   0   10268   6080   1920 S   0.0   0.0   0:00.00 zsh
18957 neal_li+  20   0   10252   5760   1600 S   0.0   0.0   0:00.05 zsh
18959 neal_li+  20   0   10492   6352   2080 S   0.0   0.0   0:00.00 zsh
18964 neal_li+  20   0    6968   1760   1600 S   0.0   0.0   0:00.19 gitstatus+
19070 root      20   0    3080    800    800 S   0.0   0.0   0:00.00 SessionLe+
19071 root      20   0    3096    960    960 S   0.0   0.0   0:00.00 Relay(190+
19072 neal_li+  20   0    2800   1600   1600 S   0.0   0.0   0:00.01 sh
19073 neal_li+  20   0    2800   1760   1760 S   0.0   0.0   0:00.00 sh
19079 neal_li+  20   0    2800   1760   1760 S   0.0   0.0   0:00.00 sh
19083 neal_li+  20   0   11.3g 119416  51840 S   0.0   0.7   0:07.42 node
19094 root      20   0    3100    800    800 S   0.0   0.0   0:00.00 SessionLe+
19096 neal_li+  20   0 1016492  58432  43040 S   0.0   0.4   0:01.35 node
19103 neal_li+  20   0 1068124  74124  47520 S   0.0   0.5   0:07.19 node
19114 root      20   0    3100    800    800 S   0.0   0.0   0:00.00 SessionLe+
19115 root      20   0    3116    800    800 S   0.0   0.0   0:00.50 Relay(191+
19116 neal_li+  20   0 1015664  57608  42720 S   0.0   0.4   0:01.71 node
19512 neal_li+  20   0   11288   9196   4480 S   0.0   0.1   0:01.11 zsh
19516 neal_li+  20   0 4457584   1.7g  32480 S   0.0  11.1   0:21.94 rust-anal+
20065 neal_li+  20   0  383496  42524  33352 S   0.0   0.3   0:00.28 rust-anal+
20695 neal_li+  20   0   10304   6108   1920 S   0.0   0.0   0:00.00 zsh
20697 neal_li+  20   0   10288   5788   1600 S   0.0   0.0   0:00.04 zsh
20699 neal_li+  20   0   10372   6380   2080 S   0.0   0.0   0:00.00 zsh
20704 neal_li+  20   0    6940   1760   1600 S   0.0   0.0   0:00.18 gitstatus+
28257 neal_li+  20   0   21.1g 161748  57440 S   0.0   1.0   0:02.76 node
